atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,source,construction_guard_s
P01_GAMMA06_M004_00_A02_R03,P01_GAMMA06_M004_00,P01,M004,1197.2671875,1245.590625,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A02_R04,P01_GAMMA06_M004_00,P01,M004,1245.590625,1293.9140625,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A03_R00,P01_GAMMA06_M004_00,P01,M004,1293.9140625,1342.2375,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A03_R01,P01_GAMMA06_M004_00,P01,M004,1342.2375,1390.5609375,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A03_R02,P01_GAMMA06_M004_00,P01,M004,1390.5609375,1438.884375,48.32343750000018,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A03_R03,P01_GAMMA06_M004_00,P01,M004,1438.884375,1487.2078125,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M004_00_A03_R04,P01_GAMMA06_M004_00,P01,M004,1487.2078125,1535.53125,48.323437499999955,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A00_R00,P01_GAMMA06_M005_00,P01,M005,674.71875,731.946875,57.22812499999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A00_R01,P01_GAMMA06_M005_00,P01,M005,731.946875,789.175,57.22812499999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A00_R02,P01_GAMMA06_M005_00,P01,M005,789.175,846.403125,57.22812500000009,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M005_00_A00_R03,P01_GAMMA06_M005_00,P01,M005,846.403125,903.63125,57.22812499999998,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
