atomic_task_id,site_id,preparation_start_s,service_start_s,service_end_s,uav_available_s
P01_GAMMA06_M015_00_A00,E52_d6d1511afdebb88632549a71,25.215557769923407,577.9843516784044,990.0468516784044,1679.7243481829141
P01_GAMMA06_M015_00_A00,E52_d7f1f5d49edaa9f52000c452,-29.77899655067779,577.9843516784044,990.0468516784044,1721.1755268524737
P01_GAMMA06_M015_00_A00,E52_dbec4f1422e98765afb262aa,45.44413999748855,577.9843516784044,990.0468516784044,1654.1471051684023
P01_GAMMA06_M015_00_A00,E52_dc4c132291b7b9525a26c82f,111.57080431867729,577.9843516784044,990.0468516784044,1564.5379846399383
P01_GAMMA06_M015_00_A00,E52_de2c36302e014a6d0284c896,42.57257687483428,577.9843516784044,990.0468516784044,1654.7706799080813
P01_GAMMA06_M015_00_A00,E52_ea76d341ab82f2ebc1fa1efe,92.57257687483428,577.9843516784044,990.0468516784044,1588.1040132414146
P01_GAMMA06_M015_00_A00,E52_eab18c460278cfbad2c20da0,155.66959068780176,577.9843516784044,990.0468516784044,1516.2013925864062
P01_GAMMA06_M015_00_A00,E52_eddf192c3626d88d236d26e4,126.25750987053556,577.9843516784044,990.0468516784044,1550.5203884325624
P01_GAMMA06_M015_00_A00,E52_f2fabdd802684ffd17ed2273,92.77394932781635,577.9843516784044,990.0468516784044,1594.6519363410043
P01_GAMMA06_M015_00_A00,E52_fd527d975e1813662620f82c,-50.23488243265098,577.9843516784044,990.0468516784044,1742.9553720850326
P01_GAMMA06_M016_00_A00,E52_060143e4033ea7dfc142ce26,67.54390837887775,668.0654740596533,1291.5967240596533,2014.5730192020987
P01_GAMMA06_M016_00_A00,E52_0f45fcab7c66cb90fa618929,30.166608747570024,668.0654740596533,1291.5967240596533,2060.8165030680257
P01_GAMMA06_M016_00_A00,E52_12b142f00e8cb4e3948f96c2,55.47180098161641,668.0654740596533,1291.5967240596533,2030.0706726096955
P01_GAMMA06_M016_00_A00,E52_24cc4f01335372459fb4c2ba,47.80212583057107,668.0654740596533,1291.5967240596533,2039.3920659003893
P01_GAMMA06_M016_00_A00,E52_2cea01313b8862fcfb6b2e63,198.46972508922147,668.0654740596533,1291.5967240596533,1871.682006518041
P01_GAMMA06_M016_00_A00,E52_2dadfb43d7dd9558e21effa9,61.990294873884636,668.0654740596533,1291.5967240596533,2019.7759310571082
P01_GAMMA06_M016_00_A00,E52_3322673a66874be8fb5ff9e0,65.79157386206191,668.0654740596533,1291.5967240596533,2015.5724253029803
P01_GAMMA06_M016_00_A00,E52_357bbbd4dc4420221c875ea3,52.63271583732637,668.0654740596533,1291.5967240596533,2024.7481506474587
P01_GAMMA06_M016_00_A00,E52_44ed69e1d99dc074a7941a18,269.78991347141573,668.0654740596533,1291.5967240596533,1790.6243595888902
P01_GAMMA06_M016_00_A00,E52_4cf0fac9feb721651efb2830,215.37192507947316,668.0654740596533,1291.5967240596533,1858.9256360464253
P01_GAMMA06_M016_00_A00,E52_4d215302190bc5bfb29bf912,150.55578226660697,668.0654740596533,1291.5967240596533,1935.3537821857074
P01_GAMMA06_M016_00_A00,E52_50c718ca7f326f764494c89d,107.21192249309513,668.0654740596533,1291.5967240596533,1961.7848255936594
P01_GAMMA06_M016_00_A00,E52_515a3b7c8d98426ee13f2b4e,215.38011271860944,668.0654740596533,1291.5967240596533,1853.6528635480768
P01_GAMMA06_M016_00_A00,E52_60b76d98beea93305f35c25d,186.2040855346674,668.0654740596533,1291.5967240596533,1890.6841077119993
P01_GAMMA06_M016_00_A00,E52_67646c2afbeb5602853e5a9c,53.29157386206191,668.0654740596533,1291.5967240596533,2032.239091969647
P01_GAMMA06_M016_00_A00,E52_68694062ed2e2e792aeb51a9,195.75071306905062,668.0654740596533,1291.5967240596533,1884.4179316343216
P01_GAMMA06_M016_00_A00,E52_76b4f0bdabd1ccab126282dd,213.2984307636525,668.0654740596533,1291.5967240596533,1857.2045886854066
P01_GAMMA06_M016_00_A00,E52_7e5f4a4eaf9aa5b10576997a,73.94588492133016,668.0654740596533,1291.5967240596533,2006.3967074342231
P01_GAMMA06_M016_00_A00,E52_924cec2d58c933358893a332,41.395029271289275,668.0654740596533,1291.5967240596533,2040.581181756953
