pareto_id,sortie_id,uav_id,time,phase,x,y,z,distance_to_G01,los,L_fspl,L_path,L_max,M_C,M_C_LOS,direct_available
P02,M002,U02,1393.2869443158445,descent,322753.3628323268,2549327.4506818517,395.0462850141235,5552.096245253479,0,114.94336455384605,124.94336455384605,122.0,-2.9433645538460524,7.0566354461539476,0
P02,M002,U02,1393.3631744307347,descent,322742.3705038204,2549317.2579484084,394.7165831900513,5537.105683708016,0,114.91988108887823,124.91988108887823,122.0,-2.9198810888782276,7.080118911121772,0
P02,M002,U02,1393.4394045456252,descent,322731.378175314,2549307.065214965,394.3868813659792,5522.11514296412,0,114.8963339937798,124.8963339937798,122.0,-2.8963339937798054,7.103666006220195,0
P02,M002,U02,1393.5156346605154,descent,322720.3858468076,2549296.872481522,394.057179541907,5507.124623192061,0,114.87272292297249,124.87272292297249,122.0,-2.8727229229724855,7.1272770770275145,0
P02,M002,U02,1393.5918647754056,descent,322709.39351830125,2549286.679748079,393.72747771783486,5492.134124562885,0,114.8490475280548,124.8490475280548,122.0,-2.849047528054797,7.150952471945203,0
P02,M002,U02,1393.668094890296,descent,322698.4011897949,2549276.4870146355,393.3977758937627,5477.143647250509,0,114.8253074577746,124.8253074577746,122.0,-2.825307457774599,7.174692542225401,0
P02,M002,U02,1393.7443250051863,descent,322687.4088612885,2549266.2942811926,393.0680740696905,5462.153191430758,0,114.80150235799624,124.80150235799624,122.0,-2.8015023579962417,7.198497642003758,0
P02,M002,U02,1393.8205551200765,descent,322676.41653278214,2549256.1015477492,392.73837224561834,5447.162757280437,0,114.77763187166748,124.77763187166748,122.0,-2.777631871667481,7.222368128332519,0
P02,M002,U02,1393.896785234967,descent,322665.42420427577,2549245.908814306,392.40867042154616,5432.172344979261,0,114.75369563879043,124.75369563879043,122.0,-2.7536956387904326,7.2463043612095674,0
P02,M002,U02,1393.9730153498572,descent,322654.43187576934,2549235.716080863,392.078968597474,5417.181954708885,0,114.72969329638747,124.72969329638747,122.0,-2.7296932963874667,7.270306703612533,0
P02,M002,U02,1394.0492454647474,descent,322643.43954726297,2549225.5233474197,391.7492667734018,5402.191586652159,0,114.70562447846699,124.70562447846699,122.0,-2.705624478466987,7.294375521533013,0
P02,M002,U02,1394.1254755796376,descent,322632.4472187566,2549215.3306139763,391.4195649493297,5387.201240994791,0,114.68148881599272,124.68148881599272,122.0,-2.681488815992722,7.318511184007278,0
P02,M002,U02,1394.201705694528,descent,322621.4548902502,2549205.1378805335,391.0898631252575,5372.210917924605,0,114.6572859368485,124.6572859368485,122.0,-2.6572859368484956,7.342714063151504,0
P02,M002,U02,1394.2779358094183,descent,322610.46256174386,2549194.94514709,390.76016130118535,5357.2206176305735,0,114.63301546580237,124.63301546580237,122.0,-2.633015465802373,7.366984534197627,0
