site_id,x_m,y_m,agl_m,lon,lat,ground_elevation_m,z_amsl_m,backhaul_distance_m,backhaul_los,backhaul_margin_db
E52_13210b65a785dd3f1500388a,323640.0,2549880.0,250.0,109.2786749397901,23.04808365612131,303.1972961425781,553.1972961425781,6587.892003607123,False,-0.42915425614174296
E52_52e683588373695765704fcf,323640.0,2549880.0,200.0,109.2786749397901,23.04808365612131,303.1972961425781,503.1972961425781,6585.00351720304,False,-0.4253450595244317
E52_a2f82c0249fa5c86ab3f19d0,323640.0,2549880.0,150.0,109.2786749397901,23.04808365612131,303.1972961425781,453.1972961425781,6582.493569458474,False,-0.42203370441613686
E52_b5b4ec731dfb466736a986fc,323640.0,2549880.0,100.0,109.2786749397901,23.04808365612131,303.1972961425781,403.1972961425781,6580.362593531446,False,-0.4192213327460337
E52_807081371edfc366fa7c5976,323640.0,2549880.0,50.0,109.2786749397901,23.04808365612131,303.1972961425781,353.1972961425781,6578.610957697198,False,-0.4169089159647399
E52_a80f7c542da1f28f1ada0d37,323400.0,2550240.0,300.0,109.2762919017951,23.051308684676677,322.9940185546875,622.9940185546875,6662.158337446104,False,-0.5265238386272415
E52_838294eaccb545c43e8eb93d,323400.0,2550240.0,250.0,109.2762919017951,23.051308684676677,322.9940185546875,572.9940185546875,6658.777989342127,False,-0.5221155402194881
E52_df9eaa7a539087159eb146af,323400.0,2550240.0,200.0,109.2762919017951,23.051308684676677,322.9940185546875,522.9940185546875,6655.771548775671,False,-0.5181929724551537
E52_f81123e0774a7991739b5a87,323400.0,2550240.0,150.0,109.2762919017951,23.051308684676677,322.9940185546875,472.9940185546875,6653.139522634125,False,-0.5147574563914645
E52_7c041e3e19eb1259d1d785f7,323400.0,2550240.0,100.0,109.2762919017951,23.051308684676677,322.9940185546875,422.9940185546875,6650.882355430801,False,-0.5118101513448323
E52_556e0e0c7713aff2c20ee0c0,323400.0,2550240.0,50.0,109.2762919017951,23.051308684676677,322.9940185546875,372.9940185546875,6649.000428931051,False,-0.5093520535919538
E52_93bf8c71f9e42a8f6855c57a,323520.0,2549880.0,300.0,109.2775041132837,23.048070903743703,304.8708190917969,604.8708190917969,6501.568000123717,False,-0.31458701840810477
E52_2cce3b7a5da84fe153f9ec97,323520.0,2549880.0,250.0,109.2775041132837,23.048070903743703,304.8708190917969,554.8708190917969,6498.243561018895,False,-0.31014453681265763
E52_eb6c7a0a908a79aaefc7c732,323520.0,2549880.0,200.0,109.2775041132837,23.048070903743703,304.8708190917969,504.8708190917969,6495.302325251254,False,-0.3062122384335595
E52_a574f712a785fbbb9276d47e,323520.0,2549880.0,150.0,109.2775041132837,23.048070903743703,304.8708190917969,454.8708190917969,6492.74481359811,False,-0.30279151412960914
E52_3cdbf73089789d4575843057,323520.0,2549880.0,100.0,109.2775041132837,23.048070903743703,304.8708190917969,404.8708190917969,6490.571479661555,False,-0.29988357620842976
E52_b658865da2b47346ace9a3cb,323520.0,2549880.0,50.0,109.2775041132837,23.048070903743703,304.8708190917969,354.8708190917969,6488.782709467686,False,-0.29748945699975593
E52_c08f64a723b1519a7e8eb966,323640.0,2550360.0,300.0,109.2786198319121,23.052417717110778,271.2668151855469,571.2668151855469,6913.509102140711,False,-0.8481956134530719
E52_d4dd9f6dc1e884ce7e771b2c,323640.0,2550360.0,250.0,109.2786198319121,23.052417717110778,271.2668151855469,521.2668151855469,6910.6259791616485,False,-0.8445726036625985
E52_7afe83d5d352030f74630389,323640.0,2550360.0,200.0,109.2786198319121,23.052417717110778,271.2668151855469,471.2668151855469,6908.103556139365,False,-0.8414016192129168
E52_8d043d5a1ab230f9dda828be,323640.0,2550360.0,150.0,109.2786198319121,23.052417717110778,271.2668151855469,421.2668151855469,6905.942228315176,False,-0.8386836529633968
E52_1ba1a0875d7d212ca9077af2,323640.0,2550360.0,100.0,109.2786198319121,23.052417717110778,271.2668151855469,371.2668151855469,6904.14233480946,False,-0.8364195572776794
E52_01f86d944d19e0edf66df001,323640.0,2550360.0,50.0,109.2786198319121,23.052417717110778,271.2668151855469,321.2668151855469,6902.704158356323,False,-0.8346100431350578
E52_ce174393227c2c5a8cc35785,323520.0,2550360.0,300.0,109.2774489679671,23.05240496206473,301.4519958496094,601.4519958496094,6829.976459738748,False,-0.7426089710452572
E52_446f2365216ca8caf1936c6d,323520.0,2550360.0,250.0,109.2774489679671,23.05240496206473,301.4519958496094,551.4519958496094,6826.836986555376,False,-0.7386154892304688
E52_94c198a981d601f4b646ed6d,323520.0,2550360.0,200.0,109.2774489679671,23.05240496206473,301.4519958496094,501.4519958496094,6824.062429478171,False,-0.7350846600646435
E52_c995de412140325827d9fbea,323520.0,2550360.0,150.0,109.2774489679671,23.05240496206473,301.4519958496094,451.4519958496094,6821.653233771895,False,-0.7320176156156606
E52_5e27a7a3bf297d4f39984aa8,323520.0,2550360.0,100.0,109.2774489679671,23.05240496206473,301.4519958496094,401.4519958496094,6819.609786655363,False,-0.729415340996141
E52_74721f1a4e5e962dfb578cae,323520.0,2550360.0,50.0,109.2774489679671,23.05240496206473,301.4519958496094,351.4519958496094,6817.932416991286,False,-0.7272786733121279
E52_be8723c30074f7b997733c97,323880.0,2550120.0,300.0,109.28098908046339,23.050276168363702,296.9069519042969,596.9069519042969,6928.647515575402,False,-0.8671941906898724
E52_86f0b933ffaead363feef5a9,323880.0,2550120.0,250.0,109.28098908046339,23.050276168363702,296.9069519042969,546.9069519042969,6925.585585342135,False,-0.8633548459459348
E52_14e8cfacc73ec8c79bcc28d5,323880.0,2550120.0,200.0,109.28098908046339,23.050276168363702,296.9069519042969,496.9069519042969,6922.8834313968,False,-0.8599652133123641
E52_59f476d6cdae4f24f0c49631,323880.0,2550120.0,150.0,109.28098908046339,23.050276168363702,296.9069519042969,446.9069519042969,6920.5414751678145,False,-0.8570263490250056
E52_140935ed5b2bde9cb1ff2be8,323880.0,2550120.0,100.0,109.28098908046339,23.050276168363702,296.9069519042969,396.9069519042969,6918.56008243966,False,-0.8545391704155634
E52_16aa05dbc4be9fc1202e2dc2,323880.0,2550120.0,50.0,109.28098908046339,23.050276168363702,296.9069519042969,346.9069519042969,6916.939563068124,False,-0.8525044549600409
E52_c63092e469dbec577d88469a,323760.0,2549880.0,300.0,109.27984576712916,23.04809639983705,317.7547912597656,617.7547912597656,6682.82546475711,True,9.446572789568762
E52_7b32a03b9f516d86f2310840,323760.0,2549880.0,250.0,109.27984576712916,23.04809639983705,317.7547912597656,567.7547912597656,6679.494794764055,False,-0.5490971491817334
E52_1490160edfa9814b9811ff30,323760.0,2549880.0,200.0,109.27984576712916,23.04809639983705,317.7547912597656,517.7547912597656,6676.536919253434,False,-0.545249931502326
